NoConcentrationX,NoConcentrationY,WithConcentrationX,WithConcentrationY
0.49893853131332633,26.204239436458522,0.6227524204702627,24.83287744918513
0.5100678696645115,25.57387326039187,0.6289028442959179,26.5230763114525
0.5290804893477865,25.818407300059512,0.6430257575920025,25.091346594030394
0.5295442117790857,25.409933505768173,0.6574245899489555,26.008738537602298
0.5295442117790858,26.5105870032961,0.6644874392872077,24.2270131386193
0.5351088809546785,25.67366267624977,0.6575798513943834,25.112792700512728
0.5510621834804018,25.764773316852835,0.6867461159895782,24.00129898370262
0.56432339412654,26.29893948411047,0.7006577889285599,23.924080983336385
0.5740615651838271,26.416737433620217,0.7368281385699121,25.812682076209818
0.5865820708289105,25.757183513398033,0.740769779235957,23.98199448361106
0.5991025764739939,25.46844099066105,0.7451751423333012,25.55051886517621
0.6157965840007719,23.884877998535067,0.7674338190356719,24.880396218641273
0.615796584000772,26.59374484984435,0.7702161536234681,24.01911852224867
0.6394464279970407,25.51109988596827,0.7838165759404213,26.11874811497571
0.6436199298787353,26.066286508881156,0.8091688378526166,25.420922221204908
0.6589468943999482,25.51447479857169,0.7994708739425517,26.13429774766526
0.6686609411689021,25.790974638344625,0.8258628453793947,25.569418375755355
0.6794709874686147,26.133998634703833,0.8397745183183764,24.20825096552413
0.6923509923123932,26.16635574986266,0.8425568529061723,23.092502517853873
0.7131782945736435,26.01104593938839,0.8425568529061723,23.425133904046877
0.7298723021004213,25.8513155786486,0.8460016481101108,22.972998469668035
0.7563044806844864,26.510614002596927,0.8503181020194993,23.787706668819087
0.7576956479783846,26.19072628639443,0.8564685258451542,25.575628214945645
0.7716891542875955,25.929827277917212,0.8738249939880741,23.988780835535092
0.7702000707645792,26.096033235671122,0.8766073285758703,22.951784733303686
0.7883013284441444,25.62079804522981,0.87478556188148,23.866117984343525
0.7883013284441444,26.232008217359457,0.8842918717231173,23.692426982237684
0.7813937405513199,25.90303973631203,0.8954212100743025,21.696638665079654
0.8105600051465148,24.797535364402123,0.8960836706904448,24.15453287270777
0.8161246743221074,25.19342611243362,0.9022952131735643,22.87168000096944
0.8300363472610891,26.670665857901483,0.90721300904163,25.83312024223716
0.8995947119559974,24.74080983336385,0.9093328830132842,21.975811435634498
0.913506384894979,26.35793295641824,0.9121152176010808,24.48242652444607
0.9218533886583679,24.37283636238784,0.9182656414267357,22.965577383648647
0.9302003924217569,25.516702240889945,0.9260268905400625,26.05054591649881
0.9496767345363312,26.20379394799487,0.9315915597156549,23.36006558905295
0.9747177458264981,25.414982375022888,0.9315915597156551,25.474380836843068
0.9747177458264981,26.38585023347372,0.9204622213644696,22.851938747482144
1.0387114413458138,25.963230177623146,0.956632571005822,25.33803436766493
1.0515877802438163,26.09297032365867,0.9677619093570072,23.26988792428959
1.0637524526359807,24.739324871818347,1.0345379394641192,25.68100765656473
1.0720994563993695,25.08472692730269,1.067925954517675,25.367463605566744
1.0665669529415545,26.124793993774034,1.1124433079224163,25.670125767841387
1.101313969571231,25.859593361397344,1.1207903116858051,25.254876521116678
1.1680819582488984,25.37492274766526,1.143048988388176,24.872492988560026
1.1722635015600376,25.99827527009705,1.1486136575637684,25.337494381648384
1.194522178262408,25.014042757736675,1.2209543568464731,24.666561756088626
1.2014780147318986,23.61898888398728,1.2348660297854543,21.821159440495414
1.3809385956447615,22.822536508881157,1.309989063655956,23.81884871131661
0.4529737206085753,26.798228346456693,1.3252838624593908,23.971329759784254
0.30636237897648677,26.833661417322833,1.3545064170606969,24.714080525544773
0.2095435684647302,26.85728346456693,1.365635755411882,25.907719615122105
0.16528354080221302,26.987204724409448,1.4296294509311975,20.67498512177257
0.11964038727524201,26.804133858267715,1.449105793045772,24.417358209452146
0.06154910096818805,26.576771653543307,1.5019701502139022,25.46223115147076
0.5387275242047025,24.861220472440944,1.510317153977291,25.12392991210401
0.8153526970954358,25.224409448818896,1.5743108494966065,25.480050690016814
0.8153526970954358,25.188976377952756,1.5965695261989774,25.224907297198314
,,1.6021341953745698,24.648742217542573
,,1.6243928720769403,25.100170527375937
,,1.6438692141915143,23.438584393883904
,,0.8402489626556019,24.25
